,Configuration,#Tasks before failure,RiskThreshold,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss
68,CHO,2,0.7,999.0,156.0,2.0,360.0,0.0,1.0,143.0,0.0,0.0,0.0,1.0,0.0,143.0,0.0,144.0,0.0,0.901,0.901,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,144.0,1717109.3862508864,0.045454545454545456,21.5,0.999987479114043
69,CHO,3,0.7,999.0,142.0,1.0,333.0,0.0,1.0,49.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,50.0,0.0,0.888,0.888,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,3013409106.7826114,0.043478260869565216,21.5,0.9999999928652237
70,CHO,5,0.7,999.0,128.0,1.0,305.0,0.0,1.0,172.0,0.0,0.0,0.0,1.0,0.0,172.0,0.0,173.0,0.0,0.895,0.895,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,173.0,49844974980885.2,0.044444444444444446,22.5,0.9999999999995486
71,CHO,10,0.7,999.0,116.0,2.0,280.0,0.0,1.0,183.0,0.0,0.0,0.0,1.0,0.0,183.0,0.0,184.0,0.0,0.857,0.857,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,184.0,2.0295672288624325e+19,0.044444444444444446,22.5,1.0
72,CHO,2,0.8,19.0,293.0,86.0,95.0,455.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,0.863,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,44.22564102564103,0.15384615384615385,6.5,0.8718596775008847
73,CHO,3,0.8,19.0,292.0,84.0,104.0,446.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,0.0,0.927,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,648.0,0.14285714285714285,6.5,0.9900687547746372
74,CHO,5,0.8,19.0,292.0,84.0,111.0,439.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,0.0,0.889,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,24266.666666666664,0.13333333333333333,7.5,0.9996910295581722
75,CHO,10,0.8,19.0,291.0,82.0,117.0,433.0,1.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,0.871,0.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,654885.0000000001,0.125,7.5,0.999988547738751
76,CHO,2,0.8,49.0,283.0,66.0,330.0,220.0,1.0,16.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,17.0,0.0,0.874,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,20614.17622377623,0.06060606060606061,16.5,0.9992002201081037
77,CHO,3,0.8,49.0,281.0,62.0,398.0,152.0,1.0,18.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,19.0,0.0,0.907,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,130700873.33333328,0.05555555555555555,17.5,0.9999998661064979
