,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
39,249.0,0.0,49.0,1.0,0.0,82.0,29.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,14.0,0.665,0.641,12.0,2.0,0.0,0.0,91.0,38.0,130.0,136.0,0.4577166210881516,82.0,82.0,111.0,3.392571789394168e-40,0.02301708371580049,41.331589765346564,8.208181220840881e-42,0
40,249.0,0.0,49.0,1.0,0.0,105.0,35.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,140.0,8.0,0.736,0.719,8.0,0.0,0.0,0.0,65.0,27.0,78.0,80.0,0.2710633899276359,105.0,105.0,140.0,2.205932215575719e-19,0.03316748447453076,24.091890867752937,9.156326614978841e-21,0
41,249.0,0.0,49.0,1.0,0.0,101.0,36.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,137.0,8.0,0.686,0.671,6.0,2.0,0.0,0.0,68.0,26.0,106.0,110.0,0.36134437425820926,101.0,101.0,137.0,2.5544610538439862e-48,0.02480916213321672,37.45652173913044,6.819803161742504e-50,0
42,249.0,0.0,49.0,1.0,0.0,95.0,31.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,126.0,7.0,0.685,0.673,7.0,0.0,0.0,0.0,75.0,25.0,128.0,132.0,0.4320913974074809,95.0,95.0,126.0,6.51280051581554e-49,0.023871445580358676,40.27906820847997,1.6169193592329422e-50,0
43,249.0,0.0,49.0,1.0,0.0,95.0,34.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,129.0,12.0,0.684,0.665,11.0,1.0,0.0,0.0,71.0,26.0,114.0,120.0,0.39107120393459527,95.0,95.0,129.0,4.4233308620326854e-36,0.026096394786924073,36.96875,1.1965053895608278e-37,0
44,249.0,0.0,49.0,1.0,0.0,81.0,29.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,7.0,0.653,0.641,6.0,1.0,0.0,0.0,108.0,29.0,226.0,232.0,0.745668251811597,81.0,81.0,110.0,7.83720730480669e-59,0.027157806707836074,36.56525608946815,2.1433481241401813e-60,0
45,249.0,0.0,49.0,1.0,0.0,92.0,35.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,9.0,0.663,0.65,7.0,2.0,0.0,0.0,91.0,28.0,160.0,164.0,0.5456715491100429,92.0,92.0,127.0,6.071257186880307e-49,0.028269237913073515,33.16535215018639,1.830602358565997e-50,0
46,249.0,0.0,49.0,1.0,0.0,100.0,33.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,133.0,3.0,0.69,0.684,2.0,1.0,0.0,0.0,80.0,26.0,120.0,124.0,0.4103993511798,100.0,100.0,133.0,1.679623589853693e-39,0.025612011333257443,37.085907903931734,4.5290076063518037e-41,0
47,249.0,0.0,49.0,1.0,0.0,94.0,30.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,3.0,0.676,0.671,3.0,0.0,0.0,0.0,74.0,26.0,114.0,120.0,0.39746081502502245,94.0,94.0,124.0,4.469939320168606e-45,0.025378682964540093,38.33403361344538,1.166049825396096e-46,0
48,249.0,0.0,49.0,1.0,0.0,97.0,28.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,10.0,0.677,0.658,8.0,2.0,0.0,0.0,93.0,27.0,168.0,174.0,0.5841755998026099,97.0,97.0,125.0,1.0125768788782906e-61,0.0249584465943244,39.35055476352817,2.5732213559967174e-63,0
49,249.0,0.0,49.0,1.0,0.0,102.0,31.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,133.0,7.0,0.695,0.682,5.0,2.0,0.0,0.0,78.0,26.0,102.0,104.0,0.3601845542169116,102.0,102.0,133.0,6.289344509646284e-35,0.03202436912049256,28.000553709856035,2.2461500493229427e-36,0
50,249.0,0.0,49.0,1.0,0.0,102.0,29.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,131.0,9.0,0.716,0.701,6.0,3.0,0.0,0.0,85.0,30.0,94.0,96.0,0.3385924477717653,102.0,102.0,131.0,1.4831068569780734e-24,0.02924125658725623,28.470588235294116,5.2092596216172e-26,0
